dataset,route_id,target_smiles
n1,4140,O=C(O)c1cc(S(=O)(=O)NCC2CC2)ccc1N1CCCC1
n1,6397,COc1ncc(Cl)cc1Nc1nc(Cl)c(C)cc1[N+](=O)[O-]
n1,1307,Cc1ccc(Nc2ncc(C(=O)N3CCCCC3)cc2C)cn1
n1,1276,Cc1cc(Br)cnc1CCCn1nnc2cc(Cc3cccnc3)cnc21
n1,4328,O=C(NCC(F)(F)F)C1(CCCCN2CCN(c3ccc([N+](=O)[O-])cc3)CC2)c2ccccc2-c2ccccc21
n1,7007,O=C(O)c1c(Cl)nc2c(c1Cl)CCCC2
n1,5948,CC(C)(C)OC(=O)NC1CCCC1(C)F
n1,9743,CC(C)(C)C(=O)OCn1ccc(N2CCO[C@H]([C@@H](O)C(=O)Nc3ccc(I)cc3C(N)=O)C2=O)n1
n1,8633,O=C1C(c2ccc(OCc3ccccc3)cc2O)c2ccccc2N1C(c1ccccc1)c1ccccc1
n1,2500,CC(C)(C)CC1NC(C(=O)NCC[C@H](O)CO)C(c2cccc(Cl)c2)C1(C#N)c1ccc(Cl)nc1
n1,9822,CC(C)(C)NC(=O)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
n1,5357,Cc1cnc(-c2cc(F)ccc2CNC(=O)c2nc3n(c(=O)c2OCc2ccccc2)CCOC3(C)C)o1
n1,883,CC(C)(C)OC(=O)N1[C@H](CNC(=O)c2cccc3c2CCO3)C[C@@H]2CCC[C@@H]21
n1,1096,COc1cc(Nc2nc3c(-c4ccc(F)cc4)cccn3n2)ccc1-n1cnc(C)c1
n1,6714,CC1(C)CCC(C)(C)C1OC(=O)C1(N)CC1
n1,1115,CC1(C)Cc2cc(C#CCO)cc3c(=O)c(C(=O)NCc4ccc(Cl)cc4)cn1c23
n1,7553,CCOC(=O)c1cc(Cl)c(Cl)nc1C(F)F
n1,8105,C=CC(=O)OCCOCCN1C(=O)C2CCCCC2C1=O
n1,659,Cc1nc(Cl)c2nc(CCl)n([C@@H](C)CO)c2c1C
n1,2324,O=C(Cn1c2c(c(-c3cc(Cl)ccc3Br)cc1=O)C(=O)CC2)Nc1ccc(-c2noc(=O)[nH]2)cc1
n1,8397,CC(C)(C)c1nc(N2CCOCC2)ncc1C(=O)O
n1,6102,Cc1nc2cc(NC(=O)CCC3CCCC3)nn2c(-c2cc(F)c3c(c2C)CCCO3)c1[C@H](OC(C)(C)C)C(=O)O
n1,7678,Oc1c(CCl)cnc2cc(C(F)(F)F)ccc12
n1,1020,FC(F)c1ccc(C(F)(F)CN2CCC(Nc3ncnc4[nH]ccc34)CC2)nc1
n5,9501,CNC(=O)c1ccc(-c2ccc(C3CCC(C(=O)N[C@@H]4CC[C@H](O)CC4)CC3)c(C)c2)cc1
n5,5313,Cc1[nH]cc(C(=O)NCc2ccc(S(C)(=O)=O)cn2)c(=O)c1-c1cccc(C(F)(F)F)c1
n5,8918,Cc1c(Cc2ccc(NC(=O)c3ccc(Cl)cc3)cc2)c2ccccc2n1CC(=O)O
n5,8189,CC(COc1ccnc(Cl)c1C(F)(F)F)c1c(F)cccc1Cl
n5,633,COCCCCn1c(C(=O)N(CC(C)C)[C@H]2C[C@@H](C(=O)N3CCCC3)CN(C(=O)OC(C)(C)C)C2)nc2ccccc21
n5,2879,CC(C)(C)OC(=O)NC1CCOCC1COc1ccc(-c2ccc(Cl)cn2)cc1F
n5,8613,CN1C(=O)N(c2cccc(C(F)(F)F)c2)C2=C(C(=O)NCC2)C1c1ccc(C#N)cc1C(=O)O
n5,2847,Cc1cc(C(=O)Nc2cccc(C(=O)c3ccc4c(c3)NC(=O)C4=CNc3ccc(NC(C)CN(C)C)cc3)c2)n(C)n1
n5,5654,CCCC[C@]1(CC)CS(=O)(=O)c2cc(CCCC#N)c(OC)cc2[C@@H](c2ccccc2)N1
n5,1391,NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(C(CC(=O)O)Sc3nnn[nH]3)CS[C@H]12
n5,3622,CNC(=O)c1c(C2=CCCC2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5ccccc5n3CO4)cc12
n5,5455,CC(C)(C)OC(=O)NCC(C)(C)c1ccc(N)cc1
n5,6445,COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1
n5,2120,CS(=O)(=O)Nc1ccccc1C(=O)N1CCCC(C(=O)Cl)C1
n5,9869,CCOC(=O)C(C)(C)COS(=O)(=O)CCCNC(C)=O
n5,9293,CCN(CC)C(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1OC
n5,7287,CN(C(=O)OC(C)(C)C)C1=N[C@H]2[C@H](O[C@H](CO[Si](C)(C)C(C)(C)C)[C@@H](O)[C@@H]2O)S1
n5,2817,O=c1ccc2c([C@@H](O)CNCC3(O)CCN(CCCOCCc4ccccc4)CC3)ccc(O)c2[nH]1
n5,1480,COc1ccc(Nc2ccc(CNC(=O)[C@]3(NC(=O)c4cncc(N)c4)CCOC3)c(F)c2)c(C(F)(F)F)c1
n5,4003,Cc1cnn(Cc2ccc(C(=O)c3cncc(C(=O)NCc4ccc5c(N)nccc5c4)c3)cc2)c1
n5,129,COc1nn2cc(-c3cc4c(OCc5csc(C6(F)CCOCC6)n5)cc(Cl)cc4o3)nc2s1
n5,7899,COc1ccc2c(O)cc(-n3ccc(NC(C)C)n3)nc2c1
n5,3850,CN1c2ccc(C(F)(F)F)cc2C(C)(C)CC1c1cccc(NC(C)(C)C(=O)O)c1
n5,5628,NC(=O)c1ccc(Cc2ccccc2)cn1
n5,7967,O=C(c1cnc2c(Br)cc(C(F)(F)F)cn12)N1C2CCC1COC2
n5,5531,c1ccc(-c2cccn3cnnc23)nc1
n5,6004,CC(C)(Cc1c[nH]c2c(Oc3ncccc3C#N)cccc12)NC(=O)OC(C)(C)C
n5,7805,CCC(=O)C1CC1c1nc2c(C)ncc(C)n2n1
n5,7796,Nc1ccc2[nH]c3ccc(N)cc3c(=O)c2c1
n5,7685,COc1cc2c(-c3cc4c(CN5CCC(O)CC5)ccnc4[nH]3)cn(C)c2cc1OC
n5,2106,CCN(CC)C(=O)COc1ccc(CCC(=O)NS(=O)(=O)CCC(C)C)c(Oc2ncc(C(F)(F)F)cc2Cl)c1
n5,5256,CN1CCN(C/C=C/c2ccc3c(Nc4ccc(Sc5nccn5C)c(Cl)c4)c(C#N)cnc3c2)CC1
n5,1811,CC(C)(C)c1ccc(-c2cccc(C3Nc4c(cc(Cl)cc4C(=O)NS(=O)(=O)C4CC4)CC3(C)C)c2)cc1
n5,8672,Cc1cc(-c2nn(C)c(C#N)c2C)ccc1OCc1c(C)cccc1-n1nnn(C)c1=O
n5,6568,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(OCCCS(=O)(=O)CCCO)ccc1Cl
n5,431,CC1(CNC(=O)CC2CN=C(c3cc4cc(Oc5ccc(S(C)(=O)=O)nc5)cc(OC5CCOCC5)c4[nH]3)S2)COC1
n5,4017,CC(C)(C)OC(=O)COc1ccc(Cl)cc1C#Cc1ccc2c(c1)S(=O)(=O)C(C)(C)C2O
n5,6397,CS(=O)(=O)NC(=O)C1(c2ccc(Br)cc2)CC1
n5,7630,CN1CC(=NO)c2c(ccn2CCCCN2CCC(C(=O)c3ccc(F)cc3)CC2)S1(=O)=O
n5,1276,O=C(Nc1cc(F)c(F)c(C(=O)c2ccc3ncc(N4CCOCC4)nc3c2)c1F)c1cccc(C(F)(F)F)c1
n5,4328,Nc1cccc([C@H]2CCCN(C[C@H]3COc4ccccc4O3)C2)c1
n5,1298,Cc1ccc2cc(Cn3cc(C(=O)NCc4c(C)cc(N)nc4C)nn3)ccc2n1
n5,4400,N#Cc1c(N2CCN(C(=O)c3cccs3)CC2)c2ccccc2n(-c2ccccc2)c1=O
n5,3961,CCn1c(C#Cc2ccc(F)cc2)c(C#N)c2ccc(OC)cc21
n5,3042,C=CC(=O)NCc1cc2c(cn1)CN(c1c(F)c(OC)cc(OC)c1F)C(=O)C21CC1
n5,9145,CCC1OCC(CC)(c2cc(F)cc(OCc3ccccc3)c2)O1
n5,880,CC(C)(C)OC(=O)NCC1CCN(c2cccc3ccc(-c4nnc5cc(I)ccn45)nc23)CC1
n5,6926,CC(=O)Nc1cc(-c2cc(F)cc(OCCN3CCOCC3)c2)nc(-n2nc(C)cc2C)n1
n5,9998,Cc1ncc(C)n2nc(CCc3ccc(O)c(NC(C)CCO)n3)nc12
n5,9743,c1ccc(-c2ccn3cnnc3c2)nc1
n5,7157,O=C(c1ccc(OC2CCOCC2)nc1)N1CCCN(C2CCC2)CC1
n5,7593,Cc1ccc(N2C(=O)C(O)=C(C(=O)c3ccc(C(C)C)cc3)C2c2ccc(N3CCN(CCN(C)C)CC3)cc2)nn1
n5,6541,CCN[C@H](C(=O)N[C@H](C(=O)N(C)[C@H](/C=C(\C)C(=O)O)C(C)C)C(C)(C)C)C(C)(C)c1ccccc1
n5,9281,CCCc1c(OCCCCC(=O)O)ccc(C(=O)c2ccccc2O)c1O
n5,234,Cc1ccc(Cn2c(-c3cccc(-c4ccc5cc(C(=O)Cl)[nH]c5c4)c3)cc(C(F)(F)F)c(C#N)c2=O)c(C)c1
n5,5306,C=C[C@H]1CCC[C@@H]1NC(=O)OC(C)(C)C
n5,1096,CC12CCC(CCN)(CC1)CC2
n5,2816,CN(C)Cc1ccc2ccc(Cl)c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c2c1
n5,1115,CS(=O)(=O)NCc1cc(CC(=O)O)ccc1Oc1ccc(C(=O)Nc2ccc(Cl)c(Cl)c2)cc1
n5,9115,C[C@@H](COC1CCCCO1)n1cc(C(=O)c2cncc(NC(=O)Cn3nc4ccccc4n3)c2)c2cncnc21
n5,2488,Cc1cc2nc(-c3ccc(N(C)C)cc3)cn2cc1CCF
n5,9093,C[C@@H](Oc1nc(-c2ccc(N3CCN(C4COC4)CC3)nc2)cc2ncn(C)c12)[C@H]1CNC(=O)C1
n5,2779,CC1(CN)c2ccccc2Oc2ccccc21
n5,6115,COC[C@@H](C)NC(=O)c1ccc(CN(C2CCCCC2C)S(=O)(=O)c2ccc(Cl)cc2)cc1
n5,4134,C[C@@H](C(=O)Nc1ccc(Br)n(Cc2cncc(C(=O)c3ccc(F)cc3)c2)c1=O)N(C)C(=O)OCc1ccccc1
n5,8105,COc1cc(N2CCN(C(=O)Cn3c(=O)oc4cc(-c5ncon5)ccc43)CC2)ccc1Cl
n5,441,COc1nc(C)c2cc(C(=O)Nc3cc(C(=O)NC(CNC(=O)OC(C)(C)C)c4ccccc4)ccc3Cl)c(=O)[nH]c2n1
n5,659,C#CC(=O)c1c(-c2ccc(OC)cc2)nn2ccc(Cl)cc12
n5,9628,C[C@@H]1OC(=O)[C@@H]1NC(=O)OCCCc1ccccc1
